Constraint,Contingency,Hrs,% Hrs,Total $,Avg $,Max $,Constraint,,Map this to EQ code from mapping document,Mapped monitored lines from bus,Mapped monitored lines from bus Name,Mapped monitored lines To bus,Mapped monitored lines from bus Name,Contingency from bus number,Contingency From bus name,Contingency To bus number,Contingency to bus name
FTST-LINTERNA 138KV FTST_LINTER1_1,SNORODE5,7,0.94%,$0.00,$0.00,$0.00,FTST-LINTERNA,138KV,FTST_LINTER1_1,6630,FTST4A,60383,LINTERNA4A,11028,ODESEHV,76000,L_NORTM
HUTTO 345KV HUTTO_MR1H,DTMPBE58,6,0.81%,$49.08,$0.07,$39.06,HUTTO,345KV,HUTTO_MR1H,#N/A,#N/A,#N/A,#N/A,132,BELLCNTY8,3415,TEMP_SS_
KNAPP-BCKSW 138KV 6437__A,DMTSCOS5,6,0.81%,$0.00,$0.00,$0.00,KNAPP-BCKSW,138KV,6437__A,1309,BLUFCKTA_8,1310,KNAPP_8,11305,DERMOTT,11318,SCURCNT
DILLEYSW-COTULAS 69KV DIL_COTU_1,SJARDIL8,5,0.67%,$298.08,$0.40,$289.63,DILLEYSW-COTULAS,69KV,DIL_COTU_1,5863,DLYSWSTECSB9,5876,COTULLASUB9,8526,STECTLA4,8611,JARDIN4A
HUTTO 1KV HUTTO_MR1L,DTMPBE58,5,0.67%,$59.32,$0.08,$20.22,HUTTO,1KV,HUTTO_MR1L,#N/A,#N/A,#N/A,#N/A,132,BELLCNTY8,3415,TEMP_SS_
THSES-SAMSW 345KV 505__A,SLCSTH25,5,0.67%,$20.60,$0.03,$15.95,THSES-SAMSW,345KV,505__A,3405,THOUSE__5,68090,SAMSW,3409,LAKE_CRK,13405,THOUSE_
JEWET-BBSES 345KV 50__A,DNAVLEG5,5,0.67%,$17.65,$0.02,$17.65,JEWET-BBSES,345KV,50__A,3380,BIGBRN__5,3391,JEWETT_N5,46020,LIMEST_,68091,NAVARRO
CELANEBI-KLEBERG 138KV CELANE_KLEBER1_1,SAJORI25,5,0.67%,$9.35,$0.01,$9.35,CELANEBI-KLEBERG,138KV,CELANE_KLEBER1_1,8516,CELANEBI4A,8519,KLEBERG4A,80512,MGVLYTP,161753,BBREEZ
VENSW-BRTRD 345KV 530__C,DVENLIG5,5,0.67%,$0.19,$0.00,$0.19,VENSW-BRTRD,345KV,530__C,1906,VENUS_S5,11901,BRITNRD1_5,1906,VENUS_S5,1916,LIGGETTA
WGROB-BLMND 138KV 6270__C,DHCKRNK5,5,0.67%,$0.00,$0.00,$0.00,WGROB-BLMND,138KV,6270__C,2071,BLUEMD1_8,2076,WAGROBT2_8,1845,ROANOKE3,1853,ROANOKE2
FTST-LINTERNA 138KV FTST_LINTER1_1,SPYOWIC8,5,0.67%,$0.00,$0.00,$0.00,FTST-LINTERNA,138KV,FTST_LINTER1_1,6630,FTST4A,60383,LINTERNA4A,37981,TNWICKE,38001,TNPYOTE
WIRTZ-STARCK 138KV 654T654_1,DFERGRM8,5,0.67%,$0.00,$0.00,$0.00,WIRTZ-STARCK,138KV,654T654_1,7104,L_WIRTZ_8_1Y,7351,L_STARCK8_1Y,7126,L_FERGUS,7474,L_GRANMO
BOSQUESW-RGH 138KV 1030__B,SBOSELM5,4,0.54%,$16.54,$0.02,$10.34,BOSQUESW-RGH,138KV,1030__B,249,ROGERSHL,252,BOSQUESW8,246,BOSQUESW5,3406,ELM_MOTT
LARDVNTH-LASCRUCE 138KV LARDVN_LASCRU1_1,DWORNLA8,4,0.54%,$11.50,$0.02,$11.50,LARDVNTH-LASCRUCE,138KV,LARDVN_LASCRU1_1,8112,LSCRUCES4A,80013,LARDVNTH4A,8134,UNITEC4A,8650,GTWYWTP4
