Contingency,DeviceName,DeviceType,Action,From Bus Number ,From Bus Name ,To Bus Number ,To Bus Name ,Circuit ID ,,
DANDAN28,1156 ANDREWS_ 1271 WHALENLK 1,LINE,OUT,1156,ANDREWS_,1271,WHALENLK,1,,
DANDAN28,1160 NOANDREW 1267 ANDREWS_ 1,LINE,OUT,1160,NOANDREW,1267,ANDREWS_,1,,
DANDAN28,1271 WHALENLK 1272 FULLERTO 1,LINE,OUT,1271,WHALENLK,1272,FULLERTO,1,,
DANDAND8,1159 NOANDREW 1284 SHAFTERL 1,LINE,OUT,1159,NOANDREW,1284,SHAFTERL,1,,
DANDAND8,1160 NOANDREW 1285 MEANS_9 1,LINE,OUT,1160,NOANDREW,1285,MEANS_9,1,,
DANDAND8,1267 ANDREWS_ 1270 FRNKLCTY 1,LINE,OUT,1267,ANDREWS_,1270,FRNKLCTY,1,,
DANDAND8,1270 FRNKLCTY 11274 FULLERT 1,LINE,OUT,1270,FRNKLCTY,11274,FULLERT,1,,
DANDAND8,1272 FULLERTO 1284 SHAFTERL 1,LINE,OUT,1272,FULLERTO,1284,SHAFTERL,1,,
DANDAND8,1274 FULERTON 11274 FULLERT 1,LINE,OUT,1274,FULERTON,11274,FULLERT,1,,
DANDAND8,1274 FULERTON 1285 MEANS_9 1,LINE,OUT,1274,FULERTON,1285,MEANS_9,1,,
DANDAND8,1275 EXXONFUL 11274 FULLERT 1,LINE,OUT,1275,EXXONFUL,11274,FULLERT,1,,
DANDAND8,1275 EXXONFUL 901130 FULERT 1,LINE,OUT,1275,EXXONFUL,901130,FULERT,1,,
DANSPR58,1730 W_KRUM_5 2373 ANNASW_5 2,LINE,OUT,1730,W_KRUM_5,2373,ANNASW_5,2,,
DANSPR58,684 SPRING 704 MTNSPRNGS 1,LINE,OUT,684,SPRING,704,MTNSPRNGS,1,,
DANSPR58,698 SALEM 707 HAWKINS8 1,LINE,OUT,698,SALEM,707,HAWKINS8,1,,
DANSPR58,698 SALEM 708 KIOWA 1,LINE,OUT,698,SALEM,708,KIOWA,1,,
DANSPR58,704 MTNSPRNGS 708 KIOWA 1,LINE,OUT,704,MTNSPRNGS,708,KIOWA,1,,
DAN_GBY8,40715 GRNBYU_ 40961 LIBRTY0 03,LINE,OUT,40715,GRNBYU_,40961,LIBRTY0,3,,
DAN_GBY8,40961 LIBRTY0 46610 WHITOK_ 03,LINE,OUT,40961,LIBRTY0,46610,WHITOK_,3,,
DAN_GBY8,45630 AIRLIN_ 46610 WHITOK_ 21,LINE,OUT,45630,AIRLIN_,46610,WHITOK_,21,,
DARMARM8,42120 ARMAND_ 42610 FAIRMT_ 35,LINE,OUT,42120,ARMAND_,42610,FAIRMT_,35,,
DARMARM8,42120 ARMAND_ 42890 LOMAX__ 35,LINE,OUT,42120,ARMAND_,42890,LOMAX__,35,,
DARMBYR8,42120 ARMAND_ 42890 LOMAX__ 35,LINE,OUT,42120,ARMAND_,42890,LOMAX__,35,,
DARMBYR8,42220 BYPARK_ 42610 FAIRMT_ 94,LINE,OUT,42220,BYPARK_,42610,FAIRMT_,94,,
DARMBYR8,42220 BYPARK_ 42900 LUZBAY_ 94,LINE,OUT,42220,BYPARK_,42900,LUZBAY_,94,,
DARMBYR8,42790 HIMONT_ 42900 LUZBAY_ 94,LINE,OUT,42790,HIMONT_,42900,LUZBAY_,94,,
DATKDA89,32850 BRYN_S_ 32864 BRYN_AT 1,LINE,OUT,32850,BRYN_S_,32864,BRYN_AT,1,,
DATKDA89,32850 BRYN_S_ 32868 BRYN_AN 1,LINE,OUT,32850,BRYN_S_,32868,BRYN_AN,1,,
DATKDA89,32862 BRYN_AT 32897 BRYN_DS 5,LINE,OUT,32862,BRYN_AT,32897,BRYN_DS,5,,
DATKDA89,32866 BRYN_ST 32868 BRYN_AN 2,LINE,OUT,32866,BRYN_ST,32868,BRYN_AN,2,,
DATKQAB8,40120 ARITEK_ 40320 CHORIN_ 87,LINE,OUT,40120,ARITEK_,40320,CHORIN_,87,,
DATKQAB8,41310 QUANAB_ 41631 UNDRWD0 06,LINE,OUT,41310,QUANAB_,41631,UNDRWD0,6,,
DATKQAB8,41631 UNDRWD0 42610 FAIRMT_ 06,LINE,OUT,41631,UNDRWD0,42610,FAIRMT_,6,,
DATKSR98,40120 ARITEK_ 41391 ALEXIS8 87,LINE,OUT,40120,ARITEK_,41391,ALEXIS8,87,,
DATKSR98,41391 ALEXIS8 41400 S_R_B__ 87,LINE,OUT,41391,ALEXIS8,41400,S_R_B__,87,,
DAUSDES8,9045 DUNLAP8 9328 AUSTROP 1,LINE,OUT,9045,DUNLAP8,9328,AUSTROP,1,,
DAUSDES8,9184 DAFFIN_G 9328 AUSTROP 1,LINE,OUT,9184,DAFFIN_G,9328,AUSTROP,1,,
DAUSDUN8,9045 DUNLAP8 9188 DECK_MB3 1,LINE,OUT,9045,DUNLAP8,9188,DECK_MB3,1,,
DAUSDUN8,9184 DAFFIN_G 9328 AUSTROP 1,LINE,OUT,9184,DAFFIN_G,9328,AUSTROP,1,,
DAUSEXE8,5005 AUSTIN1 5143 EXETER 1,LINE,OUT,5005,AUSTIN1,5143,EXETER,1,,
DAUSEXE8,5005 AUSTIN1 5143 EXETER 2,LINE,OUT,5005,AUSTIN1,5143,EXETER,2,,
DAUSGAR5,7040 L_AUSTRO 7042 L_ZORN__ 1,LINE,OUT,7040,L_AUSTRO,7042,L_ZORN__,1,,
DAUSGAR5,7040 L_AUSTRO 7048 L_GARFIE 1,LINE,OUT,7040,L_AUSTRO,7048,L_GARFIE,1,,
DAUSLOS5,7040 L_AUSTRO 9041 LOSTPN34 2,LINE,OUT,7040,L_AUSTRO,9041,LOSTPN34,2,,
DAUSLOS5,9041 LOSTPN34 9044 DUNLAP5 1,LINE,OUT,9041,LOSTPN34,9044,DUNLAP5,1,,
DAUSSND5,13429 SAND_TX 345 24106 SNDSW2_ 1 3,XFMR,OUT,13429,SAND_TX,24106,SNDSW2_,3,1,
DAUSSND5,13429 SAND_TX 900640 L_AUST 2,LINE,OUT,13429,SAND_TX,900640,L_AUST,2,,
DAUSSND5,13430 SAND_TX 138 24106 SNDSW2_ 1 3,XFMR,OUT,13430,SAND_TX,24106,SNDSW2_,1,3,
DAUSSND5,13439 SAND2_O 13.8 24106 SNDSW2_ 1 3,XFMR,OUT,13439,SAND2_O,24106,SNDSW2_,1,3,
DAUSSND5,7040 L_AUSTRO 13429 SAND_TX 1,LINE,OUT,7040,L_AUSTRO,13429,SAND_TX,1,,
DAUSWEB8,7310 L_SIMGID 9328 AUSTROP 1,LINE,OUT,7310,L_SIMGID,9328,AUSTROP,1,,
DAUSWEB8,7322 L_BASTCI 7329 L_WEBBER 1,LINE,OUT,7322,L_BASTCI,7329,L_WEBBER,1,,
DAVCIT89,8426 CITGO_NO 8466 CANTWELL 1,LINE,OUT,8426,CITGO_NO,8466,CANTWELL,1,,
DAVCIT89,8456 HIWAY_92 8871 AVERYPT2 2,LINE,OUT,8456,HIWAY_92,8871,AVERYPT2,2,,
DAVCIT89,8468 HIWAY_92 8871 AVERYPT2 1,LINE,OUT,8468,HIWAY_92,8871,AVERYPT2,1,,
DAZ_ATK8,40070 AIRPRO_ 41330 QUANUM_ 85,LINE,OUT,40070,AIRPRO_,41330,QUANUM_,85,,
DAZ_ATK8,40120 ARITEK_ 40320 CHORIN_ 87,LINE,OUT,40120,ARITEK_,40320,CHORIN_,87,,
DBALCAL8,5011 BALL_PRK 5096 COMAL_ST 1,LINE,OUT,5011,BALL_PRK,5096,COMAL_ST,1,,
DBALCAL8,5110 JT_DEELY 5255 LAREDO1 1,LINE,OUT,5110,JT_DEELY,5255,LAREDO1,1,,
DBALFIV8,5011 BALL_PRK 5096 COMAL_ST 1,LINE,OUT,5011,BALL_PRK,5096,COMAL_ST,1,,
